freq_GHz,S11_dB_0pct,S11_dB_5pct,S11_dB_10pct,S11_dB_15pct,S11_dB_20pct
1.5,-0.5733250724849414,-0.596569870805539,-0.6707026041630627,-0.702805455755991,-0.7556136806021563
1.502,-0.5766112966997242,-0.6001712235740474,-0.6750614199310998,-0.7077188588527982,-0.7612894649421089
1.504,-0.5799392622757239,-0.6038181879496678,-0.6794832782827708,-0.7127000405538289,-0.7670435479846878
1.506,-0.5833094243413235,-0.6075112839996438,-0.6839690206666617,-0.7177499106925547,-0.7728770510125581
1.508,-0.5867222437961603,-0.6112510387511282,-0.6885195002046479,-0.7228693929105469,-0.7787911139188973
1.51,-0.5901781873923555,-0.6150379862958972,-0.6931355818366345,-0.7280594248872562,-0.7847868955520042
1.512,-0.5936777278169677,-0.6188726678967563,-0.6978181424665326,-0.7333209585740413,-0.7908655740668314
1.514,-0.5972213437757196,-0.6227556320957454,-0.7025680711095508,-0.7386549604324673,-0.7970283472836449
1.516,-0.6008095200779617,-0.6266874348241089,-0.7073862690408361,-0.7440624116770382,-0.8032764330539284
1.518,-0.6044427477229712,-0.6306686395141116,-0.7122736499454346,-0.7495443085224014,-0.8096110696337123
1.52,-0.6081215239875413,-0.634699817212689,-0.7172311400696075,-0.7551016624351299,-0.8160335160644598
1.522,-0.6118463525149144,-0.6387815466970028,-0.7222596783736511,-0.7607355003902343,-0.8225450525617078
1.524,-0.6156177434050616,-0.6429144145919155,-0.7273602166860484,-0.7664468651324117,-0.8291469809116188
1.526,-0.6194362133063755,-0.6470990154894183,-0.7325337198591795,-0.77223681544225,-0.8358406248756032
1.528,-0.6233022855087127,-0.6513359520700546,-0.7377811659266014,-0.7781064264073706,-0.8426273306032086
1.53,-0.6272164900379052,-0.6556258352263888,-0.7431035462618043,-0.7840567896987505,-0.8495084670534547
1.532,-0.6311793637517098,-0.6599692841885024,-0.7485018657387124,-0.7900890138522108,-0.8564854264247863
1.534,-0.635191450437213,-0.6643669266516626,-0.753977142893819,-0.7962042245552989,-0.8635596245938235
1.536,-0.6392533009097447,-0.6688193989060364,-0.7595304100901032,-0.8024035649395893,-0.870732501563165
1.538,-0.6433654731133037,-0.673327345968685,-0.7651627136827427,-0.8086881958786112,-0.8780055219183689
1.54,-0.6475285322225456,-0.6778914217176819,-0.7708751141868098,-0.8150592962914761,-0.8853801752943542
1.542,-0.6517430507463313,-0.6825122890285885,-0.7766686864468607,-0.821518063452329,-0.8928579768514117
1.544,-0.656009608632836,-0.6871906199131551,-0.7825445198086789,-0.8280657133058044,-0.9004404677610717
1.546,-0.6603287933763489,-0.6919270956604163,-0.7885037182930572,-0.8347034807885418,-0.9081292157020099
1.548,-0.6647012001256537,-0.6967224069800979,-0.7945474007720392,-0.8414326201570831,-0.9159258153662265
1.55,-0.6691274317941396,-0.701577254148621,-0.8006767011473425,-0.8482544053219777,-0.9238318889757496
1.552,-0.6736080991715774,-0.7064923471572875,-0.8068927685314502,-0.8551701301886229,-0.9318490868100555
1.554,-0.6781438210376206,-0.7114684058633675,-0.8131967674311193,-0.862181109004662,-0.9399790877444989
1.556,-0.682735224277115,-0.7165061601433885,-0.819589877933894,-0.8692886767143527,-0.9482235997999411
1.558,-0.6873829439971477,-0.7216063500493198,-0.8260732958972589,-0.8764941893199125,-0.956584360703887
1.56,-0.6920876236459332,-0.7267697259671884,-0.8326482331409915,-0.8837990242499991,-0.9650631384633368
1.562,-0.6968499151335482,-0.7319970487785993,-0.8393159176427296,-0.8912045807356159,-0.9736617319496589
1.564,-0.7016704789545353,-0.7372890900249341,-0.8460775937367817,-0.898712280193571,-0.9823819714957537
1.566,-0.7065499843124425,-0.7426466320742887,-0.8529345223166582,-0.9063235666175952,-0.9912257195057139
1.568,-0.7114891092462461,-0.7480704682914558,-0.8598879810413208,-0.9140399069773857,-1.0001948710774067
1.57,-0.7164885407588382,-0.7535614032105995,-0.8669392645451406,-0.9218627916257472,-1.0092913546381093
1.572,-0.7215489749474391,-0.7591202527111744,-0.8740896846525621,-0.9297937347140183,-1.018517132593646
1.574,-0.726671117136093,-0.7647478441965567,-0.8813405705966038,-0.9378342746160369,-1.0278742019912104
1.576,-0.7318556820101941,-0.7704450167760418,-0.8886932692423226,-0.9459859743607223,-1.037364595196261
1.578,-0.737103393753231,-0.7762126214498009,-0.8961491453150844,-0.9542504220736804,-1.0469903805838183
1.58,-0.7424149861855123,-0.7820515212971485,-0.9037095816339944,-0.9626292314278377,-1.0567536632444234
1.582,-0.7477912029052212,-0.7879625916679528,-0.9113759793507668,-0.9711240421035758,-1.0666565857052086
1.584,-0.753232797431598,-0.7939467203775721,-0.9191497581943929,-0.9797365202582373,-1.0767013286662839
1.586,-0.7587405333504529,-0.800004807904895,-0.9270323567215872,-0.988468359005898,-1.0868901117529293
1.588,-0.764315184461887,-0.8061377675940422,-0.9350252325739529,-0.9973212789066311,-1.0972251942839537
1.59,-0.7699575349303922,-0.8123465258595554,-0.9431298627416398,-1.0062970284667132,-1.1077088760564187
1.592,-0.7756683794373344,-0.8186320223950773,-0.9513477438339073,-1.015397384648989,-1.1183434981473914
1.594,-0.7814485233358658,-0.82499521038576,-0.9596803923573907,-1.024624153394345,-1.129131443732856
1.596,-0.7872987828082179,-0.8314370567243906,-0.9681293450019954,-1.0339791701543035,-1.1400751389244115
1.598,-0.7932199850255506,-0.8379585422311613,-0.9766961589348654,-1.0434643004349344,-1.1511770536239887
1.6,-0.7992129683103739,-0.844560661877578,-0.9853824121030269,-1.053081440352675,-1.162439702397173
1.602,-0.8052785823014477,-0.851244425014071,-0.9941897035452363,-1.0628325172020234,-1.1738656453654324
1.604,-0.8114176881214115,-0.8580108556015985,-1.003119653712857,-1.0727194900356571,-1.1854574891177785
1.606,-0.8176311585470407,-0.864860992447629,-1.0121739048011298,-1.082744350257219,-1.1972178876424253
1.608,-0.8239198781822321,-0.8717958894459744,-1.0213541210901869,-1.0929091222269873,-1.2091495432786015
1.61,-0.8302847436338063,-0.8788166158209063,-1.0306619892977107,-1.1032158638810587,-1.2212552076894048
1.612,-0.8367266636899856,-0.8859242563758818,-1.0400992189423,-1.1136666673639604,-1.2335376828559286
1.614,-0.8432465595019457,-0.8931199117462607,-1.0496675427189108,-1.1242636596755515,-1.2459998220932837
1.616,-0.8498453647681306,-0.9004046986568979,-1.0593687168869779,-1.1350090033321167,-1.2586445310889738
1.618,-0.8565240259215651,-0.9077797501841738,-1.0692045216709913,-1.1459048970423082,-1.2714747689643093
1.62,-0.8632835023202367,-0.9152462160225205,-1.0791767616750083,-1.1569535763982588,-1.2844935493592335
1.6219999999999999,-0.8701247664405249,-0.9228052627560791,-1.0892872663110635,-1.1681573145822857,-1.2977039415413585
1.624,-0.8770488040737738,-0.9304580741348568,-1.0995378902421655,-1.1795184230894495,-1.3111090715395077
1.626,-0.8840566145260247,-0.9382058513562443,-1.1099305138407853,-1.1910392524665911,-1.324712123302747
1.6280000000000001,-0.8911492108210133,-0.9460498133510558,-1.1204670436630124,-1.202722193068281,-1.338516339885202
1.63,-0.8983276199065117,-0.9539911970751922,-1.131149412939461,-1.2145696758297895,-1.3525250246574618
