freq_GHz,S11_dB_manual
0.5392265193370166,-0.06543967280163443
0.6541436464088398,-0.06543967280163443
0.7624309392265194,-0.12678936605317048
0.861878453038674,-0.18813905930470298
0.9104972375690609,-0.3926380368098137
0.9546961325966852,-0.37218813905930404
0.9790055248618785,-0.5357873210633954
1.107182320441989,-0.5357873210633954
1.1801104972375691,-0.8220858895705518
1.2176795580110498,-1.0265848670756625
1.2508287292817681,-1.3333333333333321
1.2751381215469615,-1.2924335378323093
1.3060773480662984,-1.3537832310838454
1.3546961325966853,-1.6605316973415114
1.372375690607735,-1.8854805725971353
1.394475138121547,-1.9263803680981582
1.4696132596685083,-1.5173824130879332
1.504972375690608,-1.6196319018404886
1.5226519337016575,-1.7014314928425343
1.5469613259668509,-1.9059304703476485
1.5845303867403318,-2.110429447852759
1.628729281767956,-2.335378323108383
1.6574585635359118,-2.1717791411042935
1.679558011049724,-2.1717791411042935
1.6994475138121548,-2.2331288343558278
1.7171270718232043,-2.253578732106339
1.7392265193370169,-2.3558282208588945
1.7635359116022102,-2.519427402862984
1.7723756906077348,-2.785276073619631
1.7900552486187848,-3.0511247443762777
1.8187845303867403,-3.0920245398773005
1.8453038674033149,-3.1738241308793445
1.8740331491712707,-3.337423312883434
1.9027624309392266,-3.603271983640081
1.92707182320442,-3.6850715746421265
1.9602209944751383,-3.7259713701431494
1.9933701657458567,-3.930470347648262
2.0132596685082875,-4.257668711656441
2.0331491712707184,-4.625766871165643
2.0486187845303867,-5.198364008179958
2.0662983425414367,-5.811860940695295
2.081767955801105,-6.323108384458077
2.0950276243093926,-6.8752556237218805
2.112707182320442,-7.427402862985684
2.132596685082873,-7.979550102249489
2.1591160220994476,-8.368098159509202
2.1812154696132597,-8.51124744376278
2.1878453038674035,-8.265848670756645
2.2011049723756906,-7.979550102249489
2.214364640883978,-7.69325153374233
2.225414364640884,-7.591002044989775
2.2497237569060777,-7.713701431492842
2.2607734806629836,-7.83640081799591
2.2895027624309394,-8.593047034764826
2.3182320441988953,-9.574642126789366
2.3513812154696137,-10.740286298568506
2.366850828729282,-11.2719836400818
2.3845303867403316,-11.537832310838446
2.4066298342541437,-11.599182004089979
2.419889502762431,-11.599182004089979
2.4331491712707183,-11.844580777096114
2.439779005524862,-12.130879345603272
2.446408839779006,-12.417177914110429
2.450828729281768,-12.785276073619631
2.4662983425414367,-13.132924335378323
2.481767955801105,-13.337423312883434
2.49060773480663,-13.030674846625766
2.4994475138121546,-12.723926380368098
2.521546961325967,-12.478527607361963
2.5502762430939225,-12.744376278118608
2.5569060773480663,-12.92842535787321
2.5657458563535913,-13.39877300613497
2.5812154696132596,-13.807770961145195
2.594475138121547,-14.094069529652351
2.6121546961325968,-13.72597137014315
2.620994475138122,-13.460122699386503
2.623204419889503,-12.989775051124745
2.6298342541436464,-12.560327198364007
2.63646408839779,-12.130879345603272
2.643093922651934,-11.394683026584866
2.6497237569060776,-10.61758691206544
2.6607734806629835,-9.881390593047035
2.674033149171271,-9.063394683026585
2.693922651933702,-8.32719836400818
2.7226519337016577,-7.959100204498977
2.760220994475138,-7.83640081799591
2.7933701657458565,-7.85685071574642
2.8154696132596686,-8.204498977505112
2.833149171270718,-8.490797546012269
2.8530386740331495,-8.593047034764826
2.868508287292818,-8.429447852760736
2.877348066298343,-8.204498977505112
2.8883977900552487,-7.8773006134969314
2.9038674033149174,-7.529652351738241
2.9193370165745858,-7.120654396728016
2.932596685082873,-6.691206543967279
2.9458563535911604,-6.425357873210633
2.9613259668508287,-6.118609406952965
2.9900552486187846,-5.6891615541922285
3.0187845303867404,-5.54601226993865
3.0497237569060776,-5.484662576687116
3.1027624309392268,-5.505112474437627
3.1624309392265193,-5.40286298568507
3.2132596685082873,-5.2801635991820035
3.250828729281768,-5.075664621676891
3.2817679558011053,-5.116564417177914
3.310497237569061,-4.666666666666666
3.361325966850829,-3.9100204498977504
3.4077348066298345,-3.3987730061349684
3.45414364640884,-2.928425357873209
3.507182320441989,-2.3967280163599174
3.5801104972375692,-1.8445807770961125
3.659668508287293,-1.599182004089979
3.7502762430939227,-1.5378323108384464
3.847513812154696,-1.6196319018404886
3.949171270718232,-1.6809815950920246
4.0044198895027625,-1.7218813905930475
4.066298342541437,-1.9059304703476485
4.156906077348067,-2.253578732106339
4.201104972375691,-2.417177914110429
4.267403314917128,-2.5398773006134956
4.355801104972376,-2.744376278118608
